i_gru,n_m,Ra,dec,z,thete_g ,mu,sigv,r_b,flag,rabs1,d_ij,tcr,rp,rabs2,Target,ngc,pasiva
404,4,256.052,38.869,0.034912,2.81,24.484,165.892,14.600999999999999,0,-20.572,0.056813,0.031058600000000002,42.4048805,-20.433,Loose,404,3
405,4,256.308,23.160999999999998,0.030892000000000003,6.55,25.781,143.95,13.72,0,-21.201999999999998,0.1473411,0.0928262,87.5547256,-20.082,Loose,405,2
406,6,256.452,22.275,0.04911,8.897,26.309,183.452,13.909,0,-22.076999999999998,0.16973470000000002,0.0839087,188.25761409999998,-21.883000000000003,Field,406,4
407,7,119.11200000000001,44.083,0.047876999999999996,6.8420000000000005,25.750999999999998,365.085,14.29,1,-21.541999999999998,0.11092,0.0275534,141.1775513,-21.480999999999998,Field,407,6
408,5,120.931,10.0,0.035082,6.233,25.505,125.469,13.372,1,-21.83,0.135831,0.0981794,94.520607,-19.961,Loose,408,4
409,4,129.291,47.168,0.052551,3.98,25.394000000000002,113.845,14.548,1,-21.588,0.1244893,0.09916900000000001,90.0415421,-20.949,Field,409,2
410,4,134.504,30.346999999999998,0.08733400000000001,1.415,23.522,717.062,14.575999999999999,1,-22.703000000000003,0.06590139999999998,0.0083348,52.739181499999994,-20.976999999999997,Node,410,4
411,4,138.55100000000002,7.0760000000000005,0.057191,6.2620000000000005,26.284000000000002,99.98200000000001,14.305,1,-22.015,0.1688954,0.1531991,153.9998627,-21.26,Field,411,3
412,6,143.44899999999998,1.6280000000000001,0.073912,4.481,25.877,154.844,14.751,1,-22.162,0.13397679999999998,0.0784681,141.85037230000003,-21.483,VoiR,412,6
413,5,144.109,59.4,0.041332,3.25,25.311,130.936,14.595,1,-20.964000000000002,0.0490598,0.033980199999999995,57.986259499999996,-19.477999999999998,Field,413,0
414,4,144.965,16.783,0.049932,2.8360000000000003,24.305999999999997,308.70099999999996,14.158,1,-21.83,0.0948566,0.027866900000000003,60.9957123,-21.081999999999997,Loose,414,4
415,5,155.54399999999998,17.831,0.028055,6.921,25.78,392.27,14.469000000000001,1,-20.26,0.06717000000000001,0.0155292,84.0702515,-20.09,Loose,415,5
416,4,158.264,12.062000000000001,0.033627,5.087,25.476999999999997,42.726000000000006,13.984000000000002,1,-21.128,0.1103011,0.2341265,73.9621811,-19.984,Loose,416,3
417,6,158.494,59.413000000000004,0.044972000000000005,7.142,25.83,316.626,13.907,1,-21.905,0.1333447,0.0381934,138.50749209999998,-21.764,Field,417,5
418,5,162.391,16.253,0.022665,5.171,24.433000000000003,340.10900000000004,13.22,1,-21.105,0.0700174,0.0186701,50.8080559,-20.738000000000003,Loose,418,4
